entity_id,dob,main_legends,input_type,roles,algs_points_2020-21:,alternate_ids,player_years_active_range,player_years_active,player_total_winnings,player_placements_gold,player_placements_silver,player_placements_bronze,talent_years_active_range,talent_years_active,talent_events_covered,coach_years_active_range,coach_years_active,coach_total_winnings,coach_placements_gold,coach_placements_silver,coach_placements_bronze
AlejandroSuntay,,lifeline;pathfinder,mouse & keyboard,player,,,2019-04-13;2019-09-29,0,6405.0,0,1,0,,,,,,,,,
Alelu,1997-10-26,wraith,mouse & keyboard,player;talent,4940,,2019-08-30;2022-03-17,3,18285.0,7,4,11,2020-10-04;2022-03-27,2,63,,,,,,
AlexDoubleU,1999-03-08,pathfinder;bangalore,mouse & keyboard,,,,,,,,,,,,,,,,,,
Alhdar,,,,player,650,,2020-06-30;2022-01-22,2,5141.0,2,0,0,,,,,,,,,
alkaliion,,pathfinder,mouse & keyboard,player,5735,,2020-01-26;2020-09-12,0,18580.0,2,0,5,,,,,,,,,
Almaynx,,,mouse & keyboard,player,7210,,2019-08-25;2020-10-21,1,3142.0,1,2,1,,,,,,,,,
AlpaN,1996-06-15,,mouse & keyboard,player;coach,4445,,2019-08-15;2021-04-25,2,1213.0,3,1,0,,,,2020-11-01;2022-01-23,2,8620.0,0,0,0
AlphaDraft,,valkyrie,controller,,,,,,,,,,,,,,,,,,
Altruli,1996-11-11,caustic;pathfinder,mouse & keyboard,player,5910,Altruli777,2019-05-06;2021-07-25,2,3474.0,4,3,3,,,,,,,,,
Amaazz,1999-08-15,wraith,mouse & keyboard,player,7745,,2019-04-20;2022-02-24,3,53461.0,4,5,5,,,,,,,,,
Anbu,2000-03-25,wraith,mouse & keyboard,player,460,BananaBread49,2019-09-11;2020-04-06,1,3097.0,0,0,0,,,,,,,,,
AndreStrong,1997-06-06,crypto,mouse & keyboard,player,2700,,2020-04-06;2021-06-10,1,2150.0,0,1,1,,,,,,,,,
Android_Dream,1995-06-29,wraith;pathfinder;bangalore,mouse & keyboard,player,1340,,2019-03-22;2021-05-01,2,1500.0,0,0,0,,,,,,,,,
AndyJax,,gibraltar,controller,player,120,,2021-02-28;2022-03-20,1,3617.0,5,1,3,,,,,,,,,
Anemone,2000-12-28,wraith;gibraltar,mouse & keyboard,player,9485,,2020-04-04;2021-12-26,1,12315.0,3,3,4,,,,,,,,,
Anorak,1997-10-13,bloodhound;gibraltar;caustic,mouse & keyboard,player,4080,,2020-05-02;2021-04-25,1,300.0,0,0,0,,,,,,,,,
Anrchxy,2002-06-25,lifeline;wattson,mouse & keyboard,player,630,,2019-04-26;2020-04-06,1,450.0,1,0,2,,,,,,,,,
Ansvar,1992-02-20,,mouse & keyboard,,,AAnsvar,,,,,,,,,,,,,,,
Antzii,1999-04-20,wraith,controller,player,,Strictly,2020-07-26;2022-03-21,2,2720.0,3,5,4,,,,,,,,,
Anyxii,,,mouse & keyboard,player,3310,,2019-12-08;2021-11-01,2,2970.0,0,1,1,,,,,,,,,
Aono,,,mouse & keyboard,player,,Qingye,2021-06-17;2022-01-20,1,12862.0,5,2,3,,,,,,,,,
apexSQL,1998-06-22,wattson;revenant;pathfinder,mouse & keyboard,player,14005,,2019-03-09;2022-01-20,3,83282.0,9,10,8,,,,,,,,,
Appraiser,,octane,mouse & keyboard,player,7575,,2019-08-25;2022-01-09,3,13669.0,2,1,5,,,,,,,,,
apriaN,1998-04-11,wattson;wraith;bloodhound,mouse & keyboard,,,,,,,,,,,,,,,,,,
Apryze,1999-01-19,caustic,mouse & keyboard,player,,,2020-06-28;2022-03-21,2,48710.0,1,3,3,,,,,,,,,
Archerzgold,,gibraltar,controller,,,,,,,,,,,,,,,,,,
ArMzAdOg,1995-03-11,pathfinder;gibraltar;wattson,mouse & keyboard,player,2620,,2020-01-26;2020-09-15,0,0.0,0,0,0,,,,,,,,,
artiNN1,1999-10-23,wraith;octane,mouse & keyboard,player,11285,,2019-06-16;2022-03-14,3,216400.0,28,10,8,,,,,,,,,
ArTiXeNN,1998-03-11,pathfinder;wraith,mouse & keyboard,player,1540,ArTiXeNN,2019-03-03;2021-07-22,2,395.0,3,2,0,,,,,,,,,
Artyco,1995-09-26,gibraltar,mouse & keyboard,player,8545,,2019-03-13;2022-01-22,3,171393.0,13,15,10,,,,,,,,,
Aru,,wraith,mouse & keyboard,player,2090,aruog,2020-03-21;2022-03-20,2,4200.0,0,0,1,,,,,,,,,
Asanagi_Sio,12-26,valkyrie,mouse & keyboard,player,,,2021-01-28;2022-01-29,1,472.0,0,1,4,,,,,,,,,
Ashes,2000-03-05,gibraltar,mouse & keyboard,player,6760,,2019-10-31;2022-01-23,3,12323.0,1,0,4,,,,,,,,,
ASKYY,1995-01-29,wattson;gibraltar,mouse & keyboard,player,7000,,2019-03-03;2022-03-20,3,19081.0,7,4,3,,,,,,,,,
asleep,2000-07-18,bloodhound;pathfinder,mouse & keyboard,player,3595,,2020-06-21;2022-03-14,2,2278.0,1,5,4,,,,,,,,,
Assassin_47,2000-12-26,,mouse & keyboard,,,,,,,,,,,,,,,,,,
AsSen,,,mouse & keyboard,,,,,,,,,,,,,,,,,,
Assert,2001-04-10,,mouse & keyboard,player,250,1Assert,2019-03-02;2020-05-31,1,19095.0,1,1,1,,,,,,,,,
assiikun,1997-09-27,,mouse & keyboard,player;coach,,4ssii,2021-06-29;2021-06-29,0,0.0,0,0,0,,,,2021-01-28;2022-02-06,1,8544.0,1,0,0
Asura,1997-06-26,wraith;octane,controller,player,10060,Pride,2019-04-03;2022-03-23,3,57514.0,11,12,14,,,,,,,,,
Atrosty,2003-08-24,wraith;gibraltar,controller,player,6000,,2020-08-15;2021-09-11,1,24612.0,8,3,2,,,,,,,,,
Attune,1997-01-13,,mouse & keyboard,player,,,2019-07-10;2019-12-12,0,0.0,0,0,0,,,,,,,,,
Aurora,2001-07-30,wraith;pathfinder,mouse & keyboard,player,5205,Vulgar,2020-03-21;2022-01-09,2,4023.0,1,2,1,,,,,,,,,
AvadoN,1996-02-09,caustic,mouse & keyboard,player,7980,,2020-03-21;2022-01-28,2,12480.0,0,1,2,,,,,,,,,
Aves,,gibraltar,controller,player,4905,Itz_Aves,2020-05-31;2022-03-11,2,2780.0,1,5,10,,,,,,,,,
Avi,,pathfinder;mirage;bangalore,mouse & keyboard,player,,,2019-04-20;2019-07-07,0,1179.0,0,1,2,,,,,,,,,
avlis,1997-11-08,pathfinder,mouse & keyboard,player,7335,,2019-05-18;2021-03-27,2,12360.0,3,0,3,,,,,,,,,
Axbak,,,mouse & keyboard,player;coach,1190,,2020-01-26;2022-01-16,2,6575.0,2,1,1,,,,2021-08-15;2022-01-16,1,2272.0,1,0,0
Azazel,2003-01-27,,mouse & keyboard,player,2130,Zel,2021-02-28;2022-03-14,1,35566.0,1,5,1,,,,,,,,,
Azee,,,mouse & keyboard,,,,,,,,,,,,,,,,,,
Azmaz,,,mouse & keyboard,,,,,,,,,,,,,,,,,,
AZu,,gibraltar,mouse & keyboard,player,,uZA;azu2tap,2019-03-16;2022-03-13,3,9380.0,2,5,4,,,,,,,,,
Azzy,1995-05-18,lifeline;wraith;bangalore,mouse & keyboard,player,100,Azzybear,2019-04-17;2020-01-27,1,0.0,0,1,1,,,,,,,,,
B4mbino,2001-10-30,crypto;wattson,mouse & keyboard,player,5710,,2020-04-20;2022-03-20,2,15188.0,3,0,4,,,,,,,,,
Badoli,2000-09-29,pathfinder,mouse & keyboard,,7525,,,,,,,,,,,,,,,,
Baker,1995-10-30,wraith;wattson,mouse & keyboard,player,1660,,2019-03-08;2021-11-01,2,3545.0,0,3,1,,,,,,,,,
Bakky,,,mouse & keyboard,player;coach,,,2020-03-21;2020-03-21,0,0.0,0,0,0,,,,2020-12-06;2021-06-23,1,10981.0,4,3,0
BallonG,1995-02-20,wraith;gibraltar,mouse & keyboard,player,7410,,2019-03-22;2021-10-11,2,43834.0,0,5,6,,,,,,,,,
BanterStorm,1998-06-26,pathfinder,mouse & keyboard,player,7405,,2019-06-09;2021-12-05,2,18510.0,1,2,5,,,,,,,,,
BAPE5,2000-08-20,wraith;gibraltar,mouse & keyboard,player,680,,2019-11-27;2022-02-20,3,609.0,3,1,0,,,,,,,,,
Barkadij,1994-06-06,wraith,mouse & keyboard,player,550,,2019-12-08;2021-07-29,2,550.0,1,1,1,,,,,,,,,
Barroth,2000-12-21,gibraltar,mouse & keyboard,player,,,2021-04-01;2022-01-16,1,6481.0,1,1,0,,,,,,,,,
Bastiaan,2000-12-07,wraith,mouse & keyboard,player,5950,BastiaanJw,2020-01-26;2022-02-20,2,11280.0,6,9,2,,,,,,,,,
Bazzi,1998-11-07,,mouse & keyboard,,1270,Aquila,,,,,,,,,,,,,,,
bborton,1999-12-12,,mouse & keyboard,player,3060,,2019-05-31;2022-03-21,3,3000.0,3,2,2,,,,,,,,,
BBursty,,gibraltar,controller,player,,,2020-11-03;2022-03-23,2,1130.0,1,5,3,,,,,,,,,
BcJ,2000-07-04,,mouse & keyboard,player,2700,,2019-03-09;2022-02-22,3,45331.0,5,4,4,,,,,,,,,
bean,04-02,,mouse & keyboard,player;talent,740,Beann,2019-04-20;2021-05-08,2,100.0,0,1,0,2020-10-09;2022-03-11,2,22,,,,,,
bear,2001-03-16,,mouse & keyboard,talent,,,,,,,,,2020-05-09;2022-03-28,2,31,,,,,,
BeaTzPB,1999-05-26,pathfinder;wattson,mouse & keyboard,player,3985,,2020-05-30;2020-09-13,0,1860.0,0,0,1,,,,,,,,,
BeiBei,1999-10-31,gibraltar,mouse & keyboard,player,900,beibeida,2020-05-30;2022-01-22,2,15687.0,4,9,8,,,,,,,,,
Beilin,,wraith,mouse & keyboard,player,,,2019-03-02;2019-11-14,0,0.0,1,0,0,,,,,,,,,
believerok,2000-03-26,crypto;loba,mouse & keyboard,,3730,,,,,,,,,,,,,,,,
Bellkun,2002-05-30,wraith;octane,mouse & keyboard,player,11770,Bellkunx_,2019-08-25;2022-02-20,3,28249.0,9,8,9,,,,,,,,,
BenMF,,lifeline;wraith;bangalore,mouse & keyboard,player,,,2019-03-26;2019-06-09,0,672.0,0,2,1,,,,,,,,,
Besiak,2001-09-18,pathfinder,mouse & keyboard,player,370,,2020-04-20;2021-07-22,1,120.0,0,0,1,,,,,,,,,
Besk9,2000-04-30,gibraltar,mouse & keyboard,player,11835,,2020-01-26;2022-03-14,2,217510.0,28,8,9,,,,,,,,,
BigEKnows,,,mouse & keyboard,player,,,2019-02-17;2019-05-31,0,23.0,1,1,0,,,,,,,,,
Bigzzy,2001-02-22,gibraltar;caustic,mouse & keyboard,player,10350,BigzzyX_,2019-08-25;2022-02-20,3,39043.0,7,4,6,,,,,,,,,
Bin,,pathfinder,mouse & keyboard,player,5740,MrBin;B1Nn,2020-08-02;2022-03-14,2,41669.0,11,10,5,,,,,,,,,
bird,1996-04-29,octane,mouse & keyboard,player,,,2019-03-22;2019-12-15,0,5100.0,5,3,3,,,,,,,,,
Birdtv,1994-05-26,pathfinder,mouse & keyboard,player,10890,,2019-10-31;2022-02-20,3,9532.0,4,4,6,,,,,,,,,
Birt,1998-11-20,pathfinder,mouse & keyboard,player,730,,2019-03-05;2020-08-02,1,11486.0,3,2,1,,,,,,,,,
BishUP,1998-11-30,lifeline;wraith;bangalore,mouse & keyboard,player,,bishop,2019-03-05;2019-10-31,0,37.0,0,1,1,,,,,,,,,
BL4CKSzz,,,mouse & keyboard,player,790,,2020-03-21;2022-03-14,2,3253.0,0,1,0,,,,,,,,,
Blasts,2003-03-12,gibraltar;caustic,mouse & keyboard,,4935,BlasT,,,,,,,,,,,,,,,
Blaze,,,mouse & keyboard,talent,,,,,,,,,2019-09-15;2022-02-06,3,10,,,,,,
BleachiM,1998-11-08,crypto;wattson,mouse & keyboard,coach,,CoachMichaelB,,,,,,,,,,2020-01-26;2022-03-17,2,7650.0,7,4,0
Blight,2002-12-04,octane;gibraltar;bloodhound,mouse & keyboard,player,3400,Blightyy;Blightt,2020-01-27;2022-02-06,2,1925.0,2,6,2,,,,,,,,,
blitziin,2001-06-16,wattson,mouse & keyboard,player,3940,,2019-03-02;2022-03-21,3,4830.0,3,8,4,,,,,,,,,
BlueberrySmalls,2000-02-28,,mouse & keyboard,player,420,,2021-02-28;2021-11-04,0,150.0,0,0,0,,,,,,,,,
BlurrFlavorz,2001-01-28,wraith,mouse & keyboard,player,3020,,2020-05-31;2021-12-10,1,3695.0,3,4,4,,,,,,,,,
bNs,1993-10-06,bangalore;wraith,mouse & keyboard,player,1180,,2019-06-16;2020-04-04,1,0.0,0,1,1,,,,,,,,,
BobSappAim,2001-03-04,,mouse & keyboard,player,,,2019-10-17;2022-02-23,3,11591.0,7,1,2,,,,,,,,,
BoLin,2002-12-30,valkyrie,mouse & keyboard,player,,,2020-05-30;2022-03-18,2,3565.0,3,2,3,,,,,,,,,
Boring,,pathfinder,mouse & keyboard,player,,,2020-10-09;2021-12-29,1,3328.0,2,4,0,,,,,,,,,
bouhn,1996-04-28,pathfinder;bloodhound,mouse & keyboard,player,1340,bouhnnn,2019-06-27;2021-04-26,2,0.0,0,0,0,,,,,,,,,
bowswer,1996-10-02,wattson;caustic,mouse & keyboard,player,10920,,2019-04-13;2022-02-24,3,67617.0,8,6,7,,,,,,,,,
Bowzey,2000-10-04,,mouse & keyboard,player;coach,,,2019-11-27;2020-04-02,1,50.0,0,1,0,,,,2019-10-31;2022-02-20,3,15915.0,6,3,0
Brad_Lusher,,,controller,talent,,im_b_rad,,,,,,,2021-06-26;2022-02-11,1,33,,,,,,
Brans,1999-11-20,wraith,mouse & keyboard,,9360,,,,,,,,,,,,,,,,
Brasilian,05-21,horizon;wraith,controller,player,3465,Brasidian,2020-10-09;2022-01-28,2,10650.0,0,0,2,,,,,,,,,
Braver,04-05,gibraltar;loba,mouse & keyboard,player,,Braver45,2021-02-27;2022-01-09,1,2979.0,3,1,0,,,,,,,,,
Bravo,,,mouse & keyboard,talent,,,,,,,,,2019-09-15;2021-07-27,2,24,,,,,,
BreaK,,,mouse & keyboard,player,,,2019-02-12;2019-04-13,0,20300.0,0,0,0,,,,,,,,,
Brenin,,,mouse & keyboard,player,,,2019-03-10;2019-06-12,0,100.0,5,2,0,,,,,,,,,
BrittMarie,1990-02-01,pathfinder;wattson;octane,mouse & keyboard,player,1330,,2019-10-27;2021-09-09,2,35.0,0,1,2,,,,,,,,,
Bronzey,2000-01-24,wraith;ash;valkyrie,mouse & keyboard,player;coach,6950,,2019-02-13;2022-02-22,3,121860.0,12,12,13,,,,2021-12-02;2022-03-23,1,650.0,2,0,0
Bruthaman,1999-06-03,lifeline;pathfinder,mouse & keyboard,player,,,2019-03-06;2019-03-30,0,2168.0,2,1,0,,,,,,,,,
brynn,2001-10-04,wraith;ash,mouse & keyboard,,2400,turbointer23,,,,,,,,,,,,,,,
BulletL,2000-04-15,lifeline;octane;wraith,mouse & keyboard,player,2340,lilcashew,2019-03-22;2022-01-16,3,39541.0,9,6,2,,,,,,,,,
BunnyH0p,,crypto,mouse & keyboard,player,10695,,2019-07-07;2022-01-16,3,46145.0,3,1,4,,,,,,,,,
Buttzyy,1994-12-29,lifeline;pathfinder,mouse & keyboard,,,,,,,,,,,,,,,,,,
Cabbagest,,crypto,mouse & keyboard,player,4675,,2020-01-26;2022-02-05,2,10650.0,0,0,3,,,,,,,,,
CacaLL,2002-11-11,octane,mouse & keyboard,player,10760,Savior,2020-04-04;2022-03-13,2,37801.0,9,14,2,,,,,,,,,
Caffezin,1997-05-16,wattson,mouse & keyboard,player;coach,3945,,2020-06-21;2022-02-15,2,5107.0,4,2,3,,,,2021-06-20;2022-03-14,1,11415.0,1,0,0
Cali,03-04,pathfinder,mouse & keyboard,player,410,Caliburn,2019-03-05;2021-10-25,2,44643.0,3,3,2,,,,,,,,,
Campar,1998-10-11,pathfinder,mouse & keyboard,player,9875,,2019-03-03;2021-01-21,2,30684.0,10,7,5,,,,,,,,,
Capi,,wraith,mouse & keyboard,player,2120,,2019-03-08;2020-05-30,1,4383.0,3,1,4,,,,,,,,,
CaRazorARG,1996-10-31,wraith;bloodhound,mouse & keyboard,player,8700,XFiRAZOR,2019-11-23;2022-01-22,3,31251.0,1,2,3,,,,,,,,,
CarryRubick,1998-11-21,gibraltar,mouse & keyboard,player,2280,,2020-03-23;2022-02-20,2,5614.0,0,2,1,,,,,,,,,
Casper,1993-12-16,,mouse & keyboard,player,6980,,2019-03-02;2021-06-13,2,34490.0,6,3,6,,,,,,,,,
Caspere,1996-09-03,bloodhound,mouse & keyboard,player,1970,,2019-02-17;2021-06-12,2,59.0,1,0,1,,,,,,,,,
Cathryan,1993-09-28,wraith,mouse & keyboard,,9250,,,,,,,,,,,,,,,,
Ceryal,1996-11-17,wraith;wattson;pathfinder,mouse & keyboard,player,3060,,2019-03-05;2022-03-10,3,1875.0,3,4,1,,,,,,,,,
Ch1no,2001-10-27,,,player,650,,2020-06-29;2021-12-05,1,0.0,0,0,0,,,,,,,,,
Chambers,,bloodhound;pathfinder,mouse & keyboard,player,14245,,2019-10-31;2022-01-20,3,155703.0,23,22,12,,,,,,,,,
Chambie,03-09,,mouse & keyboard,player,6685,,2020-01-26;2022-02-16,2,15562.0,5,7,5,,,,,,,,,
ChanceL,,,mouse & keyboard,player,1440,Chance,2019-02-15;2022-03-21,3,500.0,1,2,1,,,,,,,,,
ChaNRiyo,,,mouse & keyboard,,,,,,,,,,,,,,,,,,
Chappie,,,mouse & keyboard,player,,,2019-02-19;2019-03-30,0,17800.0,0,1,0,,,,,,,,,
cheaterboi,02-24,gibraltar,mouse & keyboard,player,740,cheaterboixd,2020-11-25;2022-02-22,2,438.0,1,2,1,,,,,,,,,
Cheeky,04-12,wraith,controller,player,,,2020-11-01;2022-02-23,2,9767.0,12,1,6,,,,,,,,,
chentric,1996-03-30,wattson;gibraltar,mouse & keyboard,player,160,,2020-05-31;2022-01-24,2,1110.0,1,2,1,,,,,,,,,
Chikencio,1999-04-07,lifeline;pathfinder;wraith,mouse & keyboard,player,,,2019-03-18;2022-02-03,3,350.0,1,1,0,,,,,,,,,
chipzy,,,mouse & keyboard,player,400,,2019-03-05;2020-03-23,1,0.0,0,0,0,,,,,,,,,
chocoTaco,1988-09-22,,mouse & keyboard,player,,,2019-02-12;2019-05-23,0,22000.0,0,2,2,,,,,,,,,
Choppadown,,,mouse & keyboard,,,,,,,,,,,,,,,,,,
ChouChuu,,gibraltar,mouse & keyboard,player,320,,2020-01-26;2021-08-28,1,4632.0,4,2,3,,,,,,,,,
Chr1s878,,gibraltar;caustic,mouse & keyboard,player,2710,Xian;cdecde30513,2020-05-30;2022-03-13,2,39070.0,12,8,4,,,,,,,,,
Chris,1999-07-03,,mouse & keyboard,player,,,2019-03-08;2021-05-18,2,1000.0,0,1,0,,,,,,,,,
Chrollo,1995-08-01,lifeline;gibraltar;wraith,mouse & keyboard,,,,,,,,,,,,,,,,,,
Clane,2000-07-14,wraith,controller,player,8270,,2020-05-31;2022-03-23,2,26545.0,7,4,8,,,,,,,,,
Claraphi,2002-01-29,wattson,mouse & keyboard,player,10795,,2019-05-04;2022-03-16,3,79294.0,7,9,9,,,,,,,,,
clawz,1998-03-31,wattson,mouse & keyboard,,3940,,,,,,,,,,,,,,,,
cleaveee,2001-06-14,gibraltar,mouse & keyboard,,4390,ca7r1na;Cleavje-,,,,,,,,,,,,,,,
Clem,1994-08-23,,mouse & keyboard,player,400,JerkChicken,2019-09-15;2020-03-23,1,0.0,0,0,0,,,,,,,,,
Clone,1998-11-04,wraith;wattson,mouse & keyboard,player,2280,,2019-10-31;2022-03-20,3,4525.0,3,2,0,,,,,,,,,
CloNeZERA,,gibraltar,mouse & keyboard,player,3200,,2020-08-02;2022-01-15,2,18134.0,4,4,2,,,,,,,,,
Cody,2001-01-08,octane,mouse & keyboard,player,210,Codddy,2020-07-26;2022-02-01,2,33450.0,6,2,8,,,,,,,,,
ColaTMB,,octane,mouse & keyboard,player,,,2019-03-27;2021-11-01,2,2976.0,0,1,1,,,,,,,,,
Cooller,1986-08-05,,mouse & keyboard,,,COOLLERZ,,,,,,,,,,,,,,,
Cornpops,1995-10-17,bangalore;wraith;lifeline,mouse & keyboard,player,,,2019-03-27;2019-12-15,0,16589.0,1,0,2,,,,,,,,,
Coryyy,2005-01-03,,mouse & keyboard,player,,,2021-04-25;2022-01-14,1,900.0,1,0,0,,,,,,,,,
CPBR,1999-07-01,wraith;ash;valkyrie,mouse & keyboard,player,,Turra,2019-04-21;2022-02-13,3,469.75,2,1,2,,,,,,,,,
Cpt,1999-02-26,gibraltar;caustic,mouse & keyboard,player,14660,,2019-09-10;2022-03-10,3,95610.0,23,11,7,,,,,,,,,
Crank,1999-04-28,,mouse & keyboard,player,,,2019-04-17;2019-09-15,0,0.0,0,0,0,,,,,,,,,
Crazyface,1999-11-26,,mouse & keyboard,player,,,2019-03-16;2022-03-18,3,6500.0,0,0,0,,,,,,,,,
crems,1997-05-02,,mouse & keyboard,player,430,,2019-03-22;2020-04-06,1,0.0,0,0,0,,,,,,,,,
Crewsn,,pathfinder,controller,player,,,2021-03-05;2022-03-23,1,350.0,0,2,5,,,,,,,,,
Crizx,07-08,,mouse & keyboard,player;talent,,,2019-03-26;2021-12-02,2,12189.0,0,0,0,2020-05-09;2021-08-01,1,22,,,,,,
Crook,2004-03-31,wraith;gibraltar,mouse & keyboard,player,2735,qcrook,2020-06-21;2022-03-23,2,29204.0,5,4,8,,,,,,,,,
CrozzoveR,,,mouse & keyboard,player,,,2019-04-18;2019-11-27,0,50.0,1,0,0,,,,,,,,,
CrS,2000-02-21,wraith,mouse & keyboard,player,,,2019-05-31;2019-12-22,0,0.0,1,0,2,,,,,,,,,
Crust,2002-07-09,pathfinder;caustic;gibraltar,mouse & keyboard,player,12800,,2019-03-08;2022-03-22,3,136932.0,8,13,9,,,,,,,,,
Cryptic,1998-01-05,lifeline;bloodhound,mouse & keyboard,player,,,2019-03-26;2019-06-09,0,672.0,0,2,1,,,,,,,,,
CryptiK,,,mouse & keyboard,player,2300,,2019-06-09;2020-05-02,1,11040.0,0,3,0,,,,,,,,,
